stipatio,clustering
obligatorius,obligatory
biologicus,biological
biologus,biologist
biologia,biology
patria,birthplace
amárus,bitter
amaritudo,bitterness
bivalentia,bivalence
ridículus,bizarre
lámina,layer
reprehensio,blame
vacuum,blank
vacuus,blank
blasphémo,blaspheme
blasphémus,blasphemer
blasphemia,blasphemy
apertus,open
admixtio,blend
caecus,blind
obsidio,blockade
interclusio,blockage
faveus,blond
caerúleus,blue
distortus,distorted
directorium,board
jactans,boastful
incorporalis,bodiless
corpóreus,bodily
férvidus,boiling
audacia,boldness
adminículum,bolstering
bomba,bomb
vínculum,bond
librarium,bookcase
librarius,copyist
inurbánus,boorish
cáliga,boot
limitáneus,border
taedium,weariness
taediosus,boring
mutuus,reciprocal
mutuatio,borrowing
lagóéna,bottle
finis,bound
cista,box
strophium,bra
gloriosus,bragging
brahmanismus,brahmanism
cérebrum,brain
arbóreus,branching
stigma,brand
fortis,strong
fortitudo,courage
Brasilia,Brazil
Brasiliensis,Brazilian
ruptio,break
jentáculum,breakfast
mamilla,breast
nupta,bride
clarus,clear
luculentus,brilliant
vivax,long-lived
Britannia,Britain
Britannus,British
Britannicus,British
latus,wide
fractus,broken
aeneus,bronze
fuscus,brown
navigatrum,browser
bulla,bubble
sítula,bucket
buddhismus,buddhism
aedificium,building
pirum,bulb
ministerium,service
grapheocrátia,burocracy
grapheocráticus,burocratic
laophorium,bus
negotium,trade
occupatus,busy
sed,but
butýrum,butter
papilio,butterfly
verbum,verb
dictio,uttering
cábbala,cabbala
refectorium,refectory
placenta,cake
calendarium,calendar
vocatio,vocation
tranquillus,calm
aequanímiter,calmly
tranquillitas,calmness
Cantabrigia,Cambridge
Cantabrigiensis,Cambridge
fossa,canal
candidatus,candidate
Cantuaria,Canterbury
capitalismus,capitalism
captivus,captive
carbonium,carbon
charta,paper
cardinalis,pivotal
cura,worry
diligens,careful
diligenter,carefully
néglegens,careless
Carmelitanus,Carmelite
carneus,carnal
tapétum,carpet
lator,carrier
Cartesianus,Cartesian
Cartusianus,Carthusian
imagúncula,cartoon
res,topic
castellum,fort
Cataloniensis,Catalonian
categoria,category
Cathólicus,Catholic
Caucasius,Caucasian
causativus,causal
causalitas,causality
causa,cause
cautio,caution
cautus,cautious
perpetuus,unending
tectum,roof
heleoselínum,celery
caelebs,celibate
cellula,cell
coemeterium,cemetery
censor,censor
censura,critique
medium,middle
caerimonia,ceremony
certo,certainly
certitudo,certainty
catena,chain
creta,chalk
próvoco,challenge
provocátor,challenger
propugnator,champion
fortúitus,random
cancellarius,chancellor
mutatio,change
mutatorius,change
mutabilis,changeable
mutans,changing
sacellum,chapel
vaniloquus,charlatan
pérsequor,persecute
vilis,cheap
sýngrapha,check
gena,cheek
hilárus,cheerful
chémicus,chemical
chemista,chemist
chémia,chemistry
cérasum,cherry
castánea,chestnut
praecípuus,chief
praecipue,chiefly
infantilis,children
Chilia,Chile
Chiliensis,Chilean
Sinensis,Chinese
Sinenses,Chinese
semiconductor,chip
socolata,chocolate
electio,choice
exquisítus,choice
electus,chosen
Christianus,Christian
ecclesia,church
ecclesialis,ecclesial
Cinerella,Cinderella
municipium,city-state
civílis,civil
togatus,civilian
humanus,human
school,class
clássicus,classical
membrum,clause
argilla,clay
mundus,universe
serenus,clear
claritas,clearness
clericalis,clerical
cállidus,clever
calliditas,cleverness
cliens,client
caelum,climate
gradatio,climax
clinicus,clinical
fautores,clique
contemplativus,cloistered
prope,nearby
scrutatio,examining
clausus,closed
propius,nearer
núbilus,cloudy
scurrilis,clownish
dulcículus,over-sweet
consociatio,society
indicium,indication
exercitor,trainer
páénula,coat
cáffea,coffee
cognoscitivus,cognitive
cohaerentia,coherence
cohaerens,coherent
bobina,coil
frígidus,cold
collapsio,collapse
collatio,collate
collectio,collection
collegium,guild
conflígo,collide
collisio,collision
colónicus,colonial
colonia,colony
varius,various
caeruleus,colors
proeliator,combatant
comoedia,comedy
commoditas,comfort
jussum,injunction
annotatio,comment
commercium,commerce
deditio,surrender
vulgo,commonly
communismus,communism
comes,companion
societas,company
comparábilis,comparable
comparatio,comparison
misericordia,compassion
perítus,competent
querela,complaint
complementum,complement
íntegre,completely
completio,completion
complicitas,complicity
elementum,element
compósitor,composer
compósitum,composite
transactio,compromise
computátrum,computer
computratális,computer
notio,notion
conceptualis,conceptual
pressus,succinct
presse,succintly
conclusion,conclusion
illativus,deductive
concretus,concrete
vocabulum,concrete
concubina,mistress
confessarius,confessor
fides,loyalty
confísus,confident
pugna,fight
confrater,confrere
turbo,confuse
confusus,confused
perplexus,confusing
turbatio,confusion
conjunctum,conjunct
conexus,related
expugnatio,conquest
cognitus,known
consectarius,consistent
consolátor,consoler
conjuratio,conspiracy
constans,resolute
constanter,constantly
constructum,construct
contentio,tension
contingens,contingent
stabilitas,stability
oppositio,opposition
contritio,contrition
cómmodus,convenient
coenobium,convent
suasorius,persuasive
crústulum,cookie
frigídulus,cool
copulativus,coordinate
polýgraphum,copier
cópula,copula
transcríbo,copy
maiza,corn
corollarium,corollary
rectus,straight
correctus,corrected
correctio,correction
corruptor,corruptor
cosmologia,cosmology
impensa,cost
gossipium,cotton
monitum,counsel
computatio,count
comitissa,countess
innumerabilis,numberless
terra,land
aula,court
comis,courteous
cómitas,politeness
áúlicus,courtier
vacca,cow
timíditas,cowardice
ignavus,cowardly
armentarius,cowboy
rima,rhyme
gravis,sound
dementia,craziness
creatio,creation
creativus,creative
creatura,creature
credíbilis,credible
agnitio,credit
credulitas,credulity
crédulus,naive
symbolum,creed
delictum,crime
sceleratus,criminal
criticus,critic
decretorius,key
tránseo,cross
cómpitum,crossroads
turba,crowd
crudelis,cruel
crudelitas,cruelty
cruciata,crusade
cruciatus,crusader
crusta,crust
bacculum,crutch
culturalis,cultural
excultus,cultured
curiositas,curiosity
mire,curiously
usitatus,current
consuetudo,custom
translaticius,customary
béllulus,cute
cyclicus,cyclic
cynicus,cynic
cynismus,cynicism
quotidie,daily
saltator,dancer
periculosus,risky
obscurus,dark
Darwinismus,Darwinism
dies,date
dativus,dative
aurora,dawn
surdus,voiceless
pactio,deal
corruptio,decadence
fallácia,deception
fallax,deceptive
plane,perfectly
decretum,decision
judicatorius,decision
declinatio,declension
deterioratio,decline
imminutio,decrease
dedicatio,dedication
deductio,deduction
factum,fact
profundus,profound
pénitus,thoroughly
superátor,defeater
vitium,fault
vitiosus,unsound
defensor,defender
defensio,defense
defensibilis,defensible
defensorius,defensive
mendosus,mistaken
definitus,definite
definite,definitely
definitio,definition
terminalis,definitive
deformitas,deformity
stadium,degree
deicticus,deictic
deismus,deism
mora,wait
cogitatus,deliberate
suavis,tasty
postulatio,pretension
durus,stern
spernax,demeaning
democratia,democracy
democraticus,democratic
negatio,negation
signífico,hint
cláúsula,denouement
dentifex,dentist
deonticus,deontic
deontologia,deontology
provincia,department
depressus,depressed
altitudo,depth
contumeliosus,pejorative
meritum,deserts
mérito,rightly
descriptio,design
denoto,designate
architectus,designer
desiderabilis,desirable
optabilis,desireable
scrinium,desk
desperatio,despair
fatum,fate
distensio,detente
detractio,detraction
detractor,detractor
digressio,digression
machinamentum,engine
devius,devious
deditus,devoted
diagrammate,diagram
dialecticus,dialectic
dialogicus,dialogical
cólloquor,dialogue
diátriba,diatribe
dichotomia,dichotomy
dictionarium,dictionary
didascalius,didactic
diaeta,diet
alius,other
diffusio,diffusion
concoctio,digestion
dignitas,dignity
dioecesanus,diocesan
directio,direction
directe,directly
moderator,director
spurcus,dirty
spurco,dirty
impeditio,prevention
calamitas,disaster
calamitosus,disastrous
incredulitas,unbelief
discalceatus,discalced
discipulus,follower
patefactivus,disclosive
patefactio,disclosure
disjungo,disconnect
inventor,discoverer
arbitrium,discretion
sermocinatirius,discursive
disceptatio,discussion
pátina,dish
disjunctum,disjunct
consternatio,dismay
reprobatio,disproof
discussio,dispute
male,dissatisfy
dissensio,dissidence
distantia,distance
distinctus,distinct
distortio,distorsion
diffidentia,distrust
divisus,disunited
disjunctio,separation
desuetus,disuse
divortium,divorce
diversitas,diversity
divinus,divine
divinitus,divinely
dividuus,divisible
divisio,division
medicus,doctor
doctoralis,doctoral
doctrina,teaching
monumentum,document
máchina,dodge
dogmaticus,dogmatic
dogmatismus,dogmatism
scutatum,dollar
territorium,territory
práévalens,dominating
Dominicanus,Dominican
janua,door
dubitatio,hesitation
deorsum,downwards
summus,utter
libéllulua,dragonfly
scaenicus,stage
histriónia,dramatics
severissimus,drastic
incommodum,drawback
somnium,dream
térebra,drill
potio,drink
siccitas,drought
týmpanum,drum
ébrius,drunk
ebríetas,drunkeness
siccus,dry
dualismus,dualism
ducissa,duchess
mutus,dumb
sterquilinium,dungheap
inter,during
Nederlándicus,Dutch
videodiscus,DVD
dyádicus,dyadic
moribundus,dying
dynamicus,dynamic
mane,early
enixus,earnest
enixe,earnestly
otium,ease
facile,easily
orientalis,eastern
fácilis,easy
abnormalis,eccentric
oecologicus,ecological
oecologia,ecology
oeconometria,economics
parsimonia,economy
Æquatoria,Ecuador
Æquatorianus,Ecuadorian
oecumenicus,ecumenical
oecumenismus,ecumenism
edictum,edict
editio,edition
institutio,education
praeceptor,tutor
formidolósus,eerie
efficientia,efficiency
ovum,egg
Ægyptius,Egyptian
cúbitum,elbow
Eleáticus,Eleatic
comitialis,electoral
electricus,electric
electronicus,electronic
élegans,elegant
primordius,primitive
eloquenter,eloquently
álibi,elsewhere
emanatio,emanation
emergens,emerging
passio,suffering
empathía,empathy
imperator,general
emphaticus,emphatic
imperium,empire
empiricus,empirical
empirismus,empiricism
functionarius,employed
exinanitio,emptying
terminatio,ending
endócrinus,endocrine
navus,energetic
energeticus,energy
desponsatus,engaged
machinator,engineer
Anglicus,English
satis,quite
locupletatio,enrichment
adscripticius,registered
illatio,entailment
totus,total
integritas,soundness
entrópia,entropy
perscriptio,minutes
ínvidus,jealous
invidia,envy
evánidus,ephemeral
épicus,epic
epigraphe,epigraph
epistemicus,epistemic
epítheton,epithet
aequus,plain
aequalitas,equality
aequipóllens,equivalent
aequívocus,equivocal
eróticus,erotic
mendum,mistaker
succedáneus,ersatz-
doctus,scholarly
esotericus,esoteric
scriptio,writing
essentia,essence
quidditativus,essential
aeternus,eternal
aeternitas,eternity
ethicus,ethical
gentilis,ethnic
Etrúscus,Etruscan
Eucharístia,Eucharist
euphória,euphoria
éúphorus,euphoric
Europáéus,European
aequalis,even
ultimus,last
postremo,eventually
omnes,everybody
ubíque,everywhere
evidentia,evidence
malus,wicked
malum,evil
malefactor,evildoer
evolutio,evolution
evolutivus,evolution
accuratio,exactness
probatio,test
excavatio,excavation
excellencia,excellence
exceptio,exception
nimíetas,excess
nimius,excessive
concitatio,excitement
proprius,private
executivus,executive
exemplaris,ideal
exercitatio,training
exhaustus,exhausted
exhibitio,exhibit
exoticus,exotic
expansio,expansion
carus,expensive
experientia,experience
experimentum,experiment
expressus,graphic
aperte,obviously
diserte,expressly
latitudo,extent
ádditus,extra
extractum,extract
extremus,utmost
summe,extremely
facetus,facitious
facticitas,facticity
secta,faction
conditio,factor
ergasterium,factory
fácticus,factual
facúltas,faculty
offensio,failure
mediócriter,fairly
aequitas,fairness
Christifidelis,faithful
fallacia,fallacy
lapsus,slip
falsus,wrong
falsum,falsehood
pérperam,wrongly
familia,family
familiaris,intimate
praeclarus,famous
flabellum,fan
fanaticus,fanatic
commenticius,phoney
phantasia,fancy
vectura,fare
villa,farmhouse
longius,farther
velox,fast
velóciter,fast
celerius,faster
obésus,fat
fatális,fatal
fatalismus,fatalism
beneficium,favor
praedilectus,favorite
factibilis,feasible
foederatus,federal
sensatio,feeling
femineus,female
feminínus,feminine
feminismus,feminism
saeptum,fence
studiosus,zealous
idólum,fetish
feudalis,feudal
pauciores,fewer
móbilis,mobile
fictio,fiction
fabulosus,legendary
fictus,seeming
fideismus,fideism
fideisticus,fideistic
ferociter,fiercely
translativus,figurative
plica,file
expletio,filling
pellícula,film
finalis,final
finalitas,finality
pecuniarius,financial
repertum,finding
subtilis,fine
multa,fine
peractus,finished
finítus,finite
fínitas,finitude
Finnus,Finn
Fínnicus,Finnish
Finnia,Finnland
firmus,firm
piscatio,fishing
decorosus,fitting
vexillum,flag
blanditia,flattery
flexibilis,flexible
diluvium,flood
facundia,fluency
fluens,fluent
tibia,flute
coopérculum,folder
stultitia,stupidity
desipiens,foolish
inepte,foolishly
nam,for
coactio,forcing
extraneus,outsider
antesignanus,forerunner
ímmemor,forgetful
oblítus,forgotten
furcilla,fork
forma,version
formalis,formal
caeremonia,formality
formaliter,formally
dispositio,format
disponens,formater
efformatio,formation
prior,prior
olim,formerly
informis,formless
formula,formula
fossilis,fossil
fundatio,grounding
pars,section
fragmentum,fragment
Franciscanus,Franciscan
libertas,latitude
conquassatio,freakout
lentícula,lens
libere,freely
furens,frenetic
furor,frenzy
frequentia,frequency
frequens,frequent
végetus,fresh
viriditas,freshness
benignus,friendly
terror,terror
frívolus,frivolous
rure,from
antícus,front
proscaenium,front
fecundus,prolific
fructuose,fruitfully
oblectamentum,passtime
potentia,potency
functor,functor
pecuniae,funds
infundíbulum,funnel
ridiculus,ridiculous
ultra,further
ulterior,further
futilis,unavailing
futility,futility
futurus,future
lucrum,gain
Gallaecia,Galicia
Gallaecus,Galician
álea,gambling
lacuna,lacuna
alium,garlic
gasium,gas
gasicus,gaseous
bencinum,gasoline
bencinarius,gasoline
gemma,gem
generalis,generic
generalitas,generality
generaliter,generalize
liberalitas,generosity
genitívus,genitive
mitis,gentle
nobilis,gentleman
sincerus,genuine
geographia,geography
geométria,geometry
Germanicus,German
gerundium,gerund
gerundivum,gerundive
larva,ghost
donum,gift
immanis,gigantic
puella,girl
datum,given
donatio,givenness
datio,giving
vitrum,glass
vitreus,glass
impedimentum,glitch
glossa,gloss
glossarium,glossary
digitabulum,glove
gnoseologia,gnoseology
gnosticus,gnostic
gnosticismus,gnosticism
permissio,permission
propositum,suggestion
Deiformis,God-like
aurifodína,goldmine
Goliardicus,Goliardic
Guglea,Google
gothicus,gothic
pódogra,gout
publicus,state
taxatio,grading
gradalis,gradual
gradatim,gradually
baccalaureus,graduate
grammática,grammar
magnificus,splendid
concessum,grant
graphicum,graph
herba,grass
gratitudo,gratitude
sepulcrum,tomb
gravitas,gravity
insignis,remarkable
éuge!,great!
máxime,greatly
magnitudo,size
graecismus,grecism
Graecia,Greece
avaritia,greed
Graecus,Greek
víridis,green
salutatio,welcome
gregalis,gregarious
cratícula,grid
crassus,thick
nimis,grossly
globus,group
ássecla,hanger-on
augescens,growing
incrementum,increase
praestatio,guarantee
pignus,guarantor
conjectura,guess
ductor,guide
culpa,guilt
culpabilis,guilty
sclopétum,gun
víscera,innards
sólitus,usual
grándinat,hail
dimidius,half
ansa,handle
tractatio,treatment
habilis,handy
crápula,hangover
beatitúdo,happiness
laetus,joyfully
diffícilis,hard
vix,hardly
damnun,harm
nocívus,harmful
innócuus,harmless
concordia,harmony
cursim,hastily
praeproperus,hasty
odíbilis,hateful
ódium,hatred
títulus,heading
sanitas,normality
sanus,healthy
Hebraeus,Hebrew
temperatio,hedge
hedonismus,hedonism
Hegelianus,Hegelian
hegemonía,hegemony
fastigium,height
helicópterum,helicopter
hélica,helix
Hellenismus,Hellenism
utilis,useful
hemisphaerium,hemisphere
hinc,hence
praeco,herald
hereditarius,inherited
haereticus,heretical
heréditas,heritage
heróicus,heroic
dubitanter,hesitating
heuristicus,heuristic
occultus,occult
hierarchia,hierarchy
altus,tall
suprémus,highest
valde,much
viarius,highway
índicus,Hindu
hinduismus,hinduism
coxa,hip
conductus,hired
historicus,historical
historia,history
huc,hither
raucus,hoarse
avocamentum,hobby
sárculum,hoe
cavum,hole
sanctitas,holiness
holocaustum,holocaust
sanctus,holy
domesticus,home
homilia,homily
homónymum,homonym
homosexualis,homosexual
probus,honest
próbitas,honesty
honorábilis,honorable
honeste,honorably
caputium,hood
spei,hope
desperatus,hopeless
desperanter,hopelessly
horizontalis,horizontal
valetudinarium,hospital
hostilitas,hostility
deversorium,inn
Hustonia,Houston
tugurium,shack
áttamen,however
immensus,unlimited
miséricors,humane
humanismus,humanism
humanisticus,humanistic
humanitas,humanity
húmilis,humble
quotidianus,humdrum
suspicio,hunch
Húngarus,Hungarian
Hungaria,Hungary
esúriens,hungry
venatio,hunt
venator,hunter
hydrógenum,hydrogen
salubritas,hygiene
salutaris,hygienic
hypertextualis,hypertext
hypnoticus,hypnotic
Hiberia,Iberia
Hibericus,Iberian
iconomachia,iconoclasm
iconoclasta,iconoclast
idealismus,idealism
idealisticus,idealistic
ideatio,ideation
identitas,sameness
ideologia,ideology
idolatricus,idolatrous
idolatria,idolatry
inscientia,ignorance
ínsciens,ignorant
illegalis,illegal
analphabetus,illiterate
illogicus,illogical
lustro,illuminate
illuminismus,illuminism
hallucinatio',illusion
translatio,imagery
imitatio,imitation
immanentia,immanence
ímmanens,immanent
immaterialis,immaterial
immaturus,immature
immediatio,immediacy
praesens,immediate
immersio,immersion
immódicus,immoderate
impudícus,immodest
immoralis,immoral
immortalis,immortal
immutabilis,immutable
impactio,impact
ínvius,impassible
impatientia,impatience
imperativum,imperative
imperialis,imperial
impersonalis,impersonal
tacitus,tacit
tácite,implicitly
implosio,implosion
dicit,imply
significatio,importance
impossibilis,impossible
commotus,impressed
impressio,impression
inverisimilis,improbable
ineptus,improper
extemporalis,improvised
inopia,inability
inactuosus,inactive
insuffiens,inadequate
quátenus,inasmuch
endogámicus,inbred
endogámia,inbreeding
incarnatus,incarnate
incitamentum,incentive
adventicius,incidental
inclusus,included
comprehensivus,inclusive
imperfectus,unfinished
incredibilis,incredible
vere,indeed
incertus,uncertain
incisura,indent
endeixicus,indexical
Indus,Indian
Indoamericanus,Indian
indicativus,indicative
patrius,indigenous
indignabundus,indignant
obliquus,indirect
inconsultus,indiscreet
individuum,individual
inductio,induction
indulgentia,indulgence
industrialis,industrial
ineffábilis,ineffable
disaequatio,inequality
inevitabilis,inevitable
necessario,inevitably
inexorabilis,inexorable
infallibilis,infallible
infamis,infamous
consequentia,inference
infinítus,infinite
infinitas,infinite
infinitivum,infinitive
infínitas,infinity
inflátus,inflated
rarus,uncommon
habitatus,inhabited
inhibitio,inhibition
primus,primary
motivus,moving
initiatio,initiative
initiator,initiator
injustitia,injustice
atramentum,ink
intus,within
interior,interior
innocentia,innocence
innovatorius,innovating
innovatio,innovation
inorganicus,inorganic
inspectio,inquiry
insanus,insane
insanitas,insanity
insectum,insect
instabilis,insecure
interpositio,interfere
perspicientia,insight
instantia,insistence
exemplum,instance
momentum,moment
instrumentum,tools
insuláris,insular
contumelia,insult
necessarius,integral
acer,intense
intentio,objective
embolium,interact
temporarius,tentative
internitas,inwardness
interludium,interlude
Interretialis,Internet
intervallum,pause
intérsum,intervene
percontatio,interview
intime,intimately
contortus,intricate
intuitivus,intuitive
irritus,invalid
incursio,invasion
adinventum,invention
adinventor,inventor
inversus,inverse
reflexim,inversely
invisibilis,invisible
invitatio,invitation
implicátus,involved
Hibernia,Ireland
Hibernius,Irish
irónicus,ironic
ironía,irony
irrationalis,irrational
irregularis,irregular
Islamismus,Islam
Islamicus,Islamic
ínsula,island
insulánus,islander
solitarius,isolated
solitudo,wasteland
isomorphicus,isomorphic
Israelianus,Israeli
exemplar,issue
Italus,Italian
Italicus,Italian
Itália,Italy
itinerarium,itinerary
eburneus,ivory
Japania,Japan
Japaniensis,Japanese
Jesuiticus,Jesuit
Judaeus,Jew
Judáéa,Jewess
Judáicus,Jewish
conjunctio,jointly
gaudium,joy
Judaeismus,Judaism
judicium,trial
judicialis,judicial
jurisperítus,jurist
justus,just
justitia,justice
cerygmaticus,kerygmatic
claviatura,keyboard
chilometrum,kilometer
propinqui,kin
benigne,kindly
benignitas,kindness
ósculum,kiss
culína,kitchen
textura,knitting
sollertia,skill
scibilis,knowable
cógnitor,knower
cognitio,knowledge
scienter,knowingly
pittacium,label
laboratorium,laboratory
domina,lady
laicismus,laicism
laicisticus,laicistic
lucerna,lamp
órbita,orbit
magnus,large
diutinus,lasting
tardus,slow
sero,late
nuper,lately
serius,later
Latine,Latin
Latinitas,latinity
lavándula,lavender
prátulum,lawn
advocatus,lawyer
laicus,layman
segniter,lazily
pigritia,laziness
praelectio,lecture
lector,lecturer
lectorium,lecturn
flexibilitas,leeway
laevus,left
legatum,legacy
legitimus,titular
legalismus,legalism
legalisticus,legalistic
jus,legality
legislator,legislator
longitudo,length
leprosus,leper
minus,less
minor,smaller
minutio,lessening
documentum,moral
planus,level
obnoxius,liable
liberalis,liberal
liberalismus,liberalism
bibliothecarius,librarian
bibliothéca,library
mendacium,lie
vita,life
levis,light
illuminatio,lighting
fúlminat,lightning
verisímilis,likely
similitudo,simile
item,likewise
angustus,limited
limitans,limiting
linea,line
rótulus,list
auscultatio,listening
litra,liter
litterarius,literary
litterae,literature
paulum,little
parvus,small
liturgicus,liturgical
liturgía,liturgy
vivus,living
victus,living
mutuum,loan
invenibilis,locatable
situs,located
logica,logic
logicus,logical
solitárius,lonely
age!,look!
laqueus,loop
deverticulum,loophole
solutus,loose
laxe,loosely
amissio,loss
demissus,low
inferior,lower
fidus,reliable
fortuna,luck
lunaticus,lunatic
prandium,lunch
Lutheranus,Lutheran
mendax,lying
machina,machine
machinatio,machinery
apex,tilde
mafianus,mafioso
magia,magic
magneticus,magnetic
epistulae,mail
tabellarius,mailman
praecipuus,special
plurimi,majority
fabricator,maker
effectio,production
masculus,male
forum,market
mammiferum,mammal
decursio,manoeuvre
manuscriptum,manuscript
multi,numerous
exigue,marginally
marihuana,marijuana
classiarius,marine
nota,property
Martianus,Martian
martýrium,martyrdom
Marxianus,Marxian
Marxismus,Marxism
masculinus,masculine
sólidus,masive
persona,person
personatus,masked
masora,masora
masoreticus,masoretic
massa,mass
intelligo,master
materialis,material
materia,theme
maturatio,maturation
maturus,mature
maturitas,maturity
maximus,maximal
fortasse,perhaps
significatum,meaning
significativus,meaningful
mensura,measure
mechanicus,mechanic
machinalis,mechanical
artificum,mechanics
mechanicismus,mechanism
medianus,median
mediatus,mediate
deprecator,mediator
medicina,medicine
meditatio,thinking
congressio,meeting
mixtura,mixture
membrum-esse,membership
membrana,tissue
memoria,memory
mentalis,mental
ingenium,wit
conducticius,mercenary
mercator,trader
mere,merely
laudabilis,meritorius
nympha,mermaid
messianicus,messianic
metabolicus,metabolic
metabolismus,metabolism
metallum,mine
metallicus,metal
metrum,meter
methodicus,methodical
Methodismus,Methodism
accuratus,meticulous
Méxicum,Mexico
microbium,microbe
microphonium,microphone
microscopium,microscope
migratorius,migratory
militaris,military
millenium,millenium
amens,mindless
mineralis,mineral
minimus,minimal
diminutio,minimizing
minimum,minimum
minuta,minute
portentosus,miracle
miráculum,miraculous
speculum,mirror
infortunium,misfortune
missionalis,missionary
error,mistake
false,mistakenly
mitigatio,mitigation
misceo,mix
miscellus,mixed
modalis,modal
modalitas,modality
recens,recently
modernismus,modernism
modernitas,modernity
módicus,modest
