stipatio,kümeleme
alphabetum,alfabe alf.
licet,Selam
etiam,Hatta bile.
mutare,Değişim
immutatio,Değişim de.
altruismus,subruism
semper,Hiç hiç hi.
idióticus,amatör ama.
stupor,Ama
mirus,Şaşırtıcı .
ambiguitas,ambiguity
ambiguus,belirsiz
ambitio,hırs
ambitiosus,hırslı hır.
ambifarius,ambivalent
árcera,Ambulans A.
Americanus,Amerikan A.
prave,Yemin olsu.
amminoácid.,amminoacid
amoralismu.,amoralizm
copia,tedarik te.
amplificat.,yükselti y.
analogicus,Anolojik
analogum,analog
anarchia,Anarşiy
próavi,ata ata at.
áncora,Boru
antíquitus,Eski olara.
ira,Öfke öfke
annunciáto.,Açıklamar
anómalus,Anomalous
responsum,yanıt yanı.
florilegiu.,antoloji
antinómia,Antinomy
anxíetas,Endişe end.
anxius,Endişeli e.
quivis,Herhangi b.
quispiam,Kimse kims.
utique,Her neyse .
aliquid,Bir şey bi.
alicubi,Her yerde .
seclusus,Ayrı ayrı .
separatim,Ayrı ayrı .
domicilium,Oturma ika.
lentus,Apathetic
lentitudo,Apathy
sententia,Slogan slo.
apologetic.,Apologete
excusatio,özür
apória,aporia
manifestus,belirgin b.
apparentia,Görünüş gö.
additament.,appendix
magni,takdir tak.
appropinqu.,Yaklaşım y.
apriorismu.,Apriorism
armeníacum,apron
Arabius,Arap Arabi.
Arábice,Arapça Ara.
Aramáéus,Aramak
disceptato.,arbiter
arbitrariu.,keyfi
archetypum,Archtype
area,Alan alanı
probabilis,arguable
argumentum,Tartışma T.
argumental.,Tartışma T.
orior,ortaya çık.
instructur.,dizi dizi .
prehendo,tutuklama .
arrogantia,Diğer
sagítta,ok ok
dilucidus,Articulate
artificios.,yapay yapa.
ártifex,sanatsal s.
quatenus,As as as a.
Asianus,Asya Asya
seorsum,ayrı ayrı .
dormiens,Uyku Uyku .
studium,zeal
sicarus,suikastçı .
compóno,Bir araya .
concilium,Konsey kon.
assensio,Assent
assertio,iddianın i.
aestimatio,Valuing
assignatio,Görevi
adjutor,helper
sumptio,postulat
confirmati.,güvence gü.
affirmo,garanti ga.
domi,At içeri a.
ataráxia,Ataraxia
atheisticu.,ateist ate.
Atlanticus,Atlantik O.
atmosphaer.,atmosfer a.
atómicus,Atom Atom .
expiatio,Inonement
appendicul.,ek
adeptio,kazanmak k.
praesentia,Varlığın v.
subtegulán.,Attic
speciósus,çekici çek.
attributum,Özellikler
cavea,Halk kamuo.
phonotaení.,Sestape
autarchia,autarchy
germanus,Gerçek ota.
auctoritas,prestij
autocinéti.,Otomobil o.
automatari.,otomatik o.
autocinétu.,Araba arab.
autónomus,Özerk
autonomia,Özerklik
autumnalis,Sonbahar
medíetas,Ortalama o.
medius,orta orta .
vitatio,kaçınma
conscienti.,Farkındalı.
mirabilis,Harika har.
dirus,Korkunç ko.
inconcínnu.,cumsy
axiologia,Axiology
Aztecus,Aztek
garrulitas,babble
postícus,Arka arka .
spina,omurga
circumstan.,Arka arka .
praesumptu.,Arka arka .
mántica,sırt sırt .
retrógradu.,geriye dön.
retro,geriye dön.
bacterium,Bakteriyum
pravus,Kötü kötü .
improbitas,Kötülük
esca,bait
aequilibri.,denge deng.
libratus,dengeli de.
maeniánum,balkon
calvitium,Selam
pila,Ball ball .
tabella,oylama oyl.
banána,muz
exilium,sürgün sür.
argentaria,banka bank.
argentariu.,bankacı ba.
thermopoli.,bar bar ba.
bárbarus,barbar
merus,Sheer
barócus,barroque
statio,çeyrekler
basípila,beyzbol be.
fundátus,Temel teme.
fundamenta.,Temel teme.
fundamentu.,Temel teme.
balneum,Banyo bany.
solium,Banyo küve.
proelium,Savaş Sava.
pílula,bead
faba,bean
barba,sakal saka.
pulchritud.,Güzel güze.
quia,Çünkü çünk.
antequam,Daha önce .
ante,Daha önce .
incipiens,Yeni başla.
convenit,behooves
essens,Olmak
serus,Belated
Belgicus,Belçika Be.
Belgium,Belçika Be.
opinatus,İnandığına.
credens,İnanan müm.
campana,zil
infra,alt alt al.
cíngulum,kemerli ke.
scamnum,tezgah
benéficus,cömert cöm.
proclivita.,eğilimi eğ.
juxta,Yanının ya.
praeterea,Ayrıca dış.
largitio,Selam
proditio,treason
birotarius,Bicyclist
bilinguis,bilingual
miliardum,milyar mil.
obligatori.,zorunlu zo.
biologicus,Biyolojik .
biologus,Biyolog
biologia,Biyolojik .
patria,doğum yeri
amárus,Acı
amaritudo,Selam
bivalentia,Bivalence
ridículus,tuhaf tuha.
lámina,katman tab.
reprehensi.,Suç suçlam.
vacuum,boş boş bo.
vacuus,boş boş bo.
blasphémo,blaspheme
blasphémus,blasphemer
blasphemia,blasphemy
apertus,Açık açık .
admixtio,Mix
caecus,kör kör kö.
obsidio,abluka abl.
interclusi.,blokaj
faveus,sarışın
caerúleus,mavi mavi .
distortus,Sört çarpı.
directoriu.,yönetim ku.
jactans,övünen
incorporal.,Bedensiz
corpóreus,Bedensel o.
férvidus,Kaynar
audacia,cesurluk
adminículu.,Genişleme
bomba,bomba bomb.
vínculum,bağ bağı
librarium,Bookcase
librarius,kopyaist
inurbánus,boorish
cáliga,boot boot .
limitáneus,sınır sını.
taedium,Giyim
taediosus,sıkıcı sık.
mutuus,reciprocal
mutuatio,ödünç alma.
lagóéna,şişe şişe .
finis,sınırların.
cista,kutu kutus.
strophium,bra
gloriosus,Öperek
brahmanism.,brahmanism
cérebrum,Beyin
arbóreus,Bölüm
stigma,marka mark.
fortis,Güçlü güçl.
fortitudo,cesaret ce.
Brasilia,Brezilya
Brasiliens.,Brezilya
ruptio,mola mola .
jentáculum,Kahvaltı k.
mamilla,meme
nupta,gelin
clarus,net açık a.
luculentus,Parlak par.
vivax,Uzun ömürl.
Britannia,İngiltere .
Britannus,İngiliz İn.
Britannicu.,İngiliz İn.
latus,geniş geni.
fractus,kırık kırı.
aeneus,bronz bron.
fuscus,kahverengi.
navigatrum,tarayıcı t.
bulla,balon balo.
sítula,kova
buddhismus,Buddhism
aedificium,Bina binas.
pirum,Otobüs
ministeriu.,servis hiz.
grapheocrá.,Burocracy
grapheocrá.,Burocratic
laophorium,Otobüs oto.
negotium,ticaret ti.
occupatus,yoğun meşg.
sed,Ama ama am.
butýrum,tereyağı
papilio,kelebek
verbum,fiil
dictio,Selam olsu.
cábbala,Cabbala
refectoriu.,refectory
placenta,pasta past.
calendariu.,takvim tak.
vocatio,AMA
tranquillu.,Sakin saki.
aequanímit.,Sakin bir .
tranquilli.,Sakinlik
Cantabrigi.,Cambridge
Cantabrigi.,Cambridge
fossa,Canal
candidatus,Aday aday .
Cantuaria,Canterbury.
capitalism.,Kapitalizm.
captivus,esir
carbonium,karbon kar.
charta,Kağıt
cardinalis,önemli
cura,Endişelenm.
diligens,Dikkatli d.
diligenter,dikkatlice.
néglegens,Bakımsız
Carmelitan.,Carmelite
carneus,Carnal
tapétum,halı halı .
lator,taşıyıcı t.
Cartesianu.,Cartesian
Cartusianu.,Carthusian
imagúncula,karikatür
res,Konu
castellum,Fort
Catalonien.,Katalonyan
categoria,kategori k.
Cathólicus,Katolik Ka.
Caucasius,Kafkas
causativus,causal
causalitas,Kausality
causa,Sebep nede.
cautio,Dikkatli U.
cautus,Dikkatli d.
perpetuus,Selam olsu.
tectum,çatı çatı .
heleoselín.,celery
caelebs,celibate
cellula,hücre hücr.
coemeteriu.,Mezar meza.
censor,censor
censura,Eleştiri e.
medium,orta orta .
caerimonia,Tören töre.
certo,Kesinlikle.
certitudo,Kesin kesi.
catena,zincir zin.
creta,chalk
próvoco,meydan mey.
provocátor,meydan oku.
propugnato.,şampiyonu .
fortúitus,rastgele r.
cancellari.,şans
mutatio,Değişim de.
mutatorius,Değişim de.
mutabilis,değiştiril.
mutans,Değişen de.
sacellum,chapel
vaniloquus,karlatan
pérsequor,Baskıya ba.
vilis,ucuz ucuz .
sýngrapha,check chec.
gena,yanak yana.
hilárus,neşeli
chémicus,kimyasal k.
chemista,kimyager k.
chémia,kimya kimy.
cérasum,Kiracı kir.
castánea,Lanet
praecípuus,Genel Sekr.
praecipue,Genel Sekr.
infantilis,Çocuklar
Chilia,Şili
Chiliensis,Chilean
Sinensis,Çin Çin Çi.
Sinenses,Çin Çin Çi.
semiconduc.,çip
socolata,çikolata ç.
electio,seçim seçi.
exquisítus,seçim seçi.
electus,Seçilmiş s.
Christianu.,Christian .
ecclesia,Kilise kil.
ecclesiali.,Ekclesial
Cinerella,Cinderella
municipium,şehir-devl.
civílis,Sivil sivi.
togatus,sivil sivi.
humanus,İnsan insa.
school,Sınıf sını.
clássicus,Klasik kla.
membrum,Madde
argilla,Kal ki
mundus,evren evre.
serenus,net açık a.
claritas,Netlik
clericalis,clerical
cállidus,Akıllı akı.
calliditas,Zeki
cliens,müşteri mü.
caelum,iklim ikli.
gradatio,climax
clinicus,Klinik kli.
fautores,kique
contemplat.,Rahip
prope,Yakın yakı.
scrutatio,İncelenmes.
clausus,Kapalı kap.
propius,Nearer yak.
núbilus,buluty
scurrilis,palyaço
dulcículus,Over-sweet
consociati.,Toplum top.
indicium,gösterge
exercitor,eğitmen eğ.
páénula,ceket
cáffea,kahve kahv.
cognosciti.,bilişsel b.
cohaerenti.,Coherence
cohaerens,Coherent
bobina,Turn
frígidus,Soğuk soğu.
collapsio,çöktü
collatio,collate
collectio,koleksiyon.
collegium,guild
conflígo,çarpık çar.
collisio,çarpışma ç.
colónicus,sömürge sö.
colonia,koloni kol.
varius,Çeşitli çe.
caeruleus,Renk renkl.
proeliator,Savaşan
comoedia,komedi kom.
commoditas,Rahat konf.
jussum,Injunction
annotatio,Yorum
commercium,Ticaret ti.
deditio,teslim tes.
vulgo,Yaygın sık.
communismu.,komünizm k.
comes,arkadaşı
societas,şirket şir.
comparábil.,Karşılaştı.
comparatio,Karşılaştı.
misericord.,merhametli.
perítus,Yetkili ye.
querela,şikayet şi.
complement.,Tamam tama.
íntegre,Tamamen ta.
completio,Tamam tama.
complicita.,Coşky
elementum,element el.
compósitor,besteci be.
compósitum,Kompozit k.
transactio,uzlaşma
computátru.,bilgisayar.
computratá.,bilgisayar.
notio,Kavram kav.
conceptual.,kavramsal .
pressus,Succinct
presse,Occintly
conclusion,Sonuç
illativus,Deductive
concretus,Beton
vocabulum,Beton
concubina,mistress
confessari.,Yalancı
fides,sadakat
confísus,kendinden .
pugna,Savaş dövü.
confrater,confrere
turbo,karıştırma.
confusus,karıştırıl.
perplexus,kafa karış.
turbatio,karışıklık
conjunctum,conjunct
conexus,İlgili İlg.
expugnatio,feth feth .
cognitus,Bilinen bi.
consectari.,tutarlı tu.
consolátor,konsolid
conjuratio,komplo kom.
constans,Resolute
constanter,Sürekli sü.
constructu.,Yapı inşa
contentio,gerginlik
contingens,Kontingent
stabilitas,istikrar i.
oppositio,Muhalefet .
contritio,Selam
cómmodus,Uygun uygu.
coenobium,convent
suasorius,persuasive
crústulum,kurabiye
frigídulus,serin seri.
copulativu.,koordinat .
polýgraphu.,Copier
cópula,Copula
transcríbo,kopya kopy.
maiza,mısır
corollariu.,Corollary
rectus,düz düz dü.
correctus,düzeltilmi.
correctio,düzeltme d.
corruptor,yozlaşmış
cosmologia,Cosmology
impensa,maliyet ma.
gossipium,pamuk pamu.
monitum,Danışman
computatio,count coun.
comitissa,countes
innumerabi.,Sayısız sa.
terra,toprak top.
aula,mahkeme ma.
comis,mahkeme
cómitas,kibarlık
áúlicus,mahkeme
vacca,İnek inek
timíditas,korkak kor.
ignavus,korkakça k.
armentariu.,kovboy
rima,rhyme
gravis,Ses sesi
dementia,Selam
creatio,Yaratılış
creativus,Yaratıcı y.
creatura,yaratık ya.
credíbilis,Güvenilir .
agnitio,kredi kred.
credulitas,Selam
crédulus,naif
symbolum,creed
delictum,Suç suçu s.
sceleratus,suçlu suçl.
criticus,eleştirmen.
decretoriu.,anahtar an.
tránseo,haç
cómpitum,Crossroads
turba,kalabalık .
crudelis,zalim zali.
crudelitas,zalimlik
cruciata,crusade
cruciatus,crusader
crusta,crust
bacculum,crutch
culturalis,kültürel k.
excultus,Kültür kül.
curiositas,merak mera.
mire,meraklı bi.
usitatus,Mevcut mev.
consuetudo,Özel özel .
translatic.,Özel
béllulus,sevimli se.
cyclicus,Çevrimaltı
cynicus,cynic
cynismus,Cynicismis.
quotidie,Günlük gün.
saltator,dansçı dan.
periculosu.,riskli ris.
obscurus,karanlık k.
Darwinismu.,Darwinizm
dies,Tarih tari.
dativus,Dative
aurora,şafak şafa.
surdus,Sessiz
pactio,anlaşma an.
corruptio,On yıl
fallácia,Deception
fallax,Deceptive
plane,Mükemmel m.
decretum,karar kara.
judicatori.,karar kara.
declinatio,Declension
deteriorat.,düşüş düşü.
imminutio,azaltımı a.
dedicatio,adanmışlık
deductio,Dedüksiyon
factum,Aslında ge.
profundus,Derin deri.
pénitus,iyice iyic.
superátor,yenilgi
vitium,Hata hatas.
vitiosus,Unsound
defensor,savunucusu
defensio,savunma sa.
defensibil.,Defensible
defensoriu.,savunma sa.
mendosus,yanlışlıkl.
definitus,kesin kesi.
definite,Kesinlikle.
definitio,Tanım tanı.
terminalis,kesin kesi.
deformitas,Deformity
stadium,diploma de.
deicticus,Deictic
deismus,Deism
mora,Bekle bekl.
cogitatus,kasıtlı
suavis,lezzetli l.
postulatio,Pretans
durus,stern
spernax,Degrasyon
democratia,Demokrasi .
democratic.,demokratik.
negatio,Negation
signífico,ipucu
cláúsula,Feouement
dentifex,Diş Hekim .
deonticus,deontic
deontologi.,deontoloji
provincia,Bölüm Bölü.
depressus,depresif d.
altitudo,derinlik d.
contumelio.,pejorative
meritum,Çöller
mérito,haklı olar.
descriptio,tasarım ta.
denoto,Tasarım
architectu.,Tasarımcı .
desiderabi.,arzu edile.
optabilis,Arzu edile.
scrinium,Masa masas.
desperatio,umutsuzluk.
fatum,kaderin ka.
distensio,detente
detractio,Detraction
detractor,detractor
digressio,digresyon
machinamen.,motor moto.
devius,İnanılmaz
deditus,Selam olsu.
diagrammat.,diyagram d.
dialecticu.,diyalektik
dialogicus,Diyalog
cólloquor,diyalog di.
diátriba,Diatribe
dichotomia,dichotomy
dictionari.,Sözlük
didascaliu.,didactic
diaeta,Diyet diye.
alius,Diğer diğe.
diffusio,difüzyon
concoctio,Sinion
dignitas,saygınlık
dioecesanu.,diocesan
directio,Yön yönü
directe,Doğrudan d.
moderator,Yönetmen
spurcus,kirli kirl.
spurco,kirli kirl.
impeditio,önlemenin .
calamitas,Afet felak.
calamitosu.,Korkunç fe.
incredulit.,Ne yazık k.
discalceat.,Diskalced
discipulus,follower
patefactiv.,disk
patefactio,Açıklama
disjungo,Ayrıklık
inventor,Discoverer
arbitrium,Yemin eder.
sermocinat.,Diskursive
disceptati.,Tartışma
pátina,Yemek
disjunctum,disjunct
consternat.,Başarısızl.
reprobatio,Disproof
discussio,Tartışma
male,dissatisfy
dissensio,Güvensizli.
distantia,Uzak mesaf.
distinctus,Farklı ayr.
distortio,distorsiyo.
diffidenti.,Distrust
divisus,disunited
disjunctio,Ayrı ayrı .
desuetus,disuse
divortium,boşanma bo.
diversitas,Çeşitli çe.
divinus,ilahi ilah.
divinitus,Tanrısal o.
dividuus,Divisible
divisio,Bölüm
medicus,Doktor dok.
doctoralis,Doktora
doctrina,öğretim öğ.
monumentum,Belge belg.
máchina,Dodge
dogmaticus,dogmatik
dogmatismu.,dogmatizm
scutatum,Dolar dola.
territoriu.,Bölge bölg.
práévalens,Yemin eder.
Dominicanu.,Dominik
janua,kapı kapıs.
dubitatio,tereddüt t.
deorsum,aşağılar
summus,De ki:
libéllulua,Dragonfly
scaenicus,Sahne aşam.
histriónia,dramatikle.
severissim.,Şiddetli s.
incommodum,dezavantaj.
somnium,rüya rüya .
térebra,Çamaşır Yı.
potio,içki içmek
siccitas,kuraklık
týmpanum,davul davu.
ébrius,sarhoş sar.
ebríetas,sarhoşluk
siccus,Kuru kuru .
dualismus,dualizm
ducissa,duchesss
mutus,aptal apta.
sterquilin.,dungheap
inter,sırasında
Nederlándi.,Hollandalı.
videodiscu.,DVD DVD DV.
dyádicus,dyadic
moribundus,Ölü ölmek
dynamicus,dinamik di.
mane,erken erke.
enixus,ciddi
enixe,ciddiyetle
otium,Kolay kola.
facile,kolayca ko.
orientalis,doğu doğu .
fácilis,kolay kola.
abnormalis,Eksantrik
oecologicu.,ekolojik e.
oecologia,Ekolojik e.
oeconometr.,Ekonomi ek.
parsimonia,ekonomi ek.
Æquatoria,Ekvador
Æquatorian.,Ekvador
oecumenicu.,Ecumenical
oecumenism.,Ecumenism
edictum,edict
editio,baskı
institutio,Eğitim eği.
praeceptor,öğretmen
formidolós.,eerie
efficienti.,Verimlilik.
ovum,Yumurta yu.
Ægyptius,Mısırlı Mı.
cúbitum,dir.
Eleáticus,Eleatik
comitialis,Seçim Seçi.
electricus,Elektrikli.
electronic.,elektronik.
élegans,Şık zarif .
primordius,ilkel ilke.
eloquenter,Eloquly
álibi,Başka bir .
emanatio,►
emergens,Ortaya çık.
passio,Acı çeken .
empathía,empati emp.
imperator,general ge.
emphaticus,Emphatic
imperium,İmparatorl.
empiricus,Ampirik
empirismus,Empiricism
functionar.,istihdam e.
exinanitio,Boşluk
terminatio,Son son so.
endócrinus,endokrin e.
navus,Enerji ene.
energeticu.,Enerji ene.
desponsatu.,meşgul
machinator,Mühendis m.
Anglicus,İngilizce .
satis,oldukça ol.
locupletat.,Zenginleşt.
adscriptic.,kayıtlı ka.
illatio,Entailment
totus,Toplam top.
integritas,Ses
entrópia,Entropi En.
perscripti.,dakika dak.
ínvidus,kıskanç kı.
invidia,Envy
evánidus,Ephemeral
épicus,epik epik
epigraphe,epigraph
epistemicu.,epistemik
epítheton,epithet
aequus,Düz
aequalitas,Eşit eşitl.
aequipólle.,eşdeğer eş.
aequívocus,equivocal
eróticus,erotik ero.
mendum,hata
succedáneu.,ersatz-
doctus,Akademisye.
esotericus,ezoterik
scriptio,Yazı yazı .
essentia,Temel özü
quidditati.,Temel teme.
aeternus,ebedi ebed.
aeternitas,sonsuza de.
ethicus,Etik etik .
gentilis,etnik etni.
Etrúscus,Etruscan
Eucharísti.,Eucharist
euphória,euphoria
éúphorus,euphoric
Europáéus,Avrupa Avr.
aequalis,Hatta bile.
ultimus,Son son so.
postremo,Sonunda so.
omnes,Herkes her.
ubíque,Her yerde .
evidentia,Kanıt kanı.
malus,Yeminler o.
malum,Kötü kötül.
malefactor,Kötülük
evolutio,evrim evri.
evolutivus,evrim evri.
accuratio,kesinlik
probatio,Test testi.
excavatio,kazı
excellenci.,Mükemmel m.
exceptio,istisna is.
nimíetas,Aşırı aşır.
nimius,Aşırı aşır.
concitatio,heyecan ve.
proprius,Özel özel .
executivus,yönetici y.
exemplaris,İdeal idea.
exercitati.,Eğitim eği.
exhaustus,tükenmiş b.
exhibitio,sergiler s.
exoticus,egzotik eg.
expansio,genişleme .
carus,pahalı pah.
experienti.,deneyim de.
experiment.,Deney Dene.
expressus,grafik gra.
aperte,Açıkçası a.
diserte,Açıkçası a.
latitudo,ölçüde
ádditus,Ekstra eks.
extractum,Ekstra eks.
extremus,En yüksek
summe,Son derece.
facetus,facitious
facticitas,Gerçeklik
secta,faction
conditio,faktör fak.
ergasteriu.,fabrika fa.
fácticus,Gerçek
facúltas,Fakülte
offensio,Başarısız .
mediócrite.,Oldukça ad.
aequitas,Adillik
Christifid.,sadık sadı.
fallacia,Sonbahar
lapsus,kayma
falsus,yanlış yan.
falsum,Yalan yala.
pérperam,yanlış yan.
familia,aile ailes.
familiaris,samimi sam.
praeclarus,Ünlü ünlü .
flabellum,fan hayran.
fanaticus,fanatik
commentici.,telefon
phantasia,fantezi
vectura,ve
villa,çiftlik ev.
longius,Uzak
velox,Hızlı hızl.
velóciter,Hızlı hızl.
celerius,Daha hızlı.
obésus,şişman yağ
fatális,ölümcül öl.
fatalismus,Ölümcül
beneficium,iyilik
praedilect.,favori fav.
factibilis,uygulanabi.
foederatus,federal fe.
sensatio,Duygu hiss.
femineus,kadın kadı.
feminínus,Kadın kadı.
feminismus,Feminizm f.
saeptum,çit
studiosus,zealous
idólum,Jake
feudalis,Tartışma
pauciores,Daha az da.
móbilis,mobil mobi.
fictio,kurgu
fabulosus,efsanevi e.
fictus,Görünüşe g.
fideismus,fideizm
fideisticu.,fideistic
ferociter,şiddetli b.
translativ.,Figüratif
plica,Dosya dosy.
expletio,dolum dolu.
pellícula,Film
finalis,final fina.
finalitas,Sonsuzluk
pecuniariu.,finansal f.
repertum,bulmak bul.
subtilis,İyi iyi iy.
multa,İyi iyi iy.
peractus,Bitti biti.
finítus,Sonlu
fínitas,Yüzde
Finnus,Finn
Fínnicus,Finlandiya.
Finnia,Finnland
firmus,firma
piscatio,Balık avı
decorosus,Özellikler.
vexillum,Bayrak bay.
blanditia,flattery
flexibilis,Esnek esne.
diluvium,sel
facundia,fluency
fluens,akıcı akıc.
tibia,flute
coopérculu.,klasör kla.
stultitia,aptallık
desipiens,aptal apta.
inepte,Aptalca
nam,Çünkü
coactio,zorlamak i.
extraneus,Dışarıdan
antesignan.,Forerunner
ímmemor,unutun
oblítus,unutulmuş .
furcilla,Fork
forma,sürüm sürü.
formalis,formal for.
caeremonia,formalite
formaliter,resmi olar.
dispositio,format
disponens,format
efformatio,formasyon .
prior,Önceki Önc.
olim,Daha önce .
informis,biçimsiz b.
formula,Formül for.
fossilis,fosil fosi.
fundatio,zemin
pars,Bölüm
fragmentum,parça parç.
Franciscan.,Franciscan
libertas,Entitude
conquassat.,Çılgınlık
lentícula,lens lens .
libere,özgürce öz.
furens,çılgınlık
furor,çılgınlık
frequentia,frekans fr.
frequens,Sık sık sı.
végetus,taze taze .
viriditas,Tazelik
benignus,dostça dos.
terror,Terör terö.
frívolus,Şişman
rure,From from .
antícus,Ön cephe c.
proscaeniu.,Ön cephe c.
fecundus,Prolific
fructuose,verimli ol.
oblectamen.,passtime
potentia,Yeterlik
functor,eğlence
pecuniae,fonlar fon.
infundíbul.,eğlence
ridiculus,gülünç gül.
ultra,Dahası dah.
ulterior,Dahası dah.
futilis,Unavailing
futility,çeviklik
futurus,Gelecek ge.
lucrum,kazanç eld.
Gallaecia,Galicia
Gallaecus,Galician
álea,kumar kuma.
lacuna,lacuna
alium,sarımsak
gasium,Gaz gazı
gasicus,Gaz
bencinum,benzinli b.
bencinariu.,benzinli b.
gemma,gem
generalis,genel jeri.
generalita.,Genellik
generalite.,generalize
liberalita.,cömertlik .
genitívus,Genitive
mitis,nazik nazi.
nobilis,beyefendi
sincerus,Gerçek ger.
geographia,Coğrafya C.
geométria,Geometri G.
Germanicus,Alman Alma.
gerundium,Gerund
gerundivum,gerundive
larva,hayalet ha.
donum,hediye hed.
immanis,devasa dev.
puella,kız kız
datum,Verilen öz.
donatio,Selam
datio,Verme
vitrum,cam cam ca.
vitreus,cam cam ca.
impediment.,glitch
glossa,Parlak
glossarium,Parlak
digitabulu.,Glove
gnoseologi.,gnoseology
gnosticus,gnostic
gnosticism.,gnosticism
permissio,İzin izni
propositum,öneri öner.
Deiformis,Tanrı gibi
aurifodína,altın
Goliardicu.,Goliardic
Guglea,Google Goo.
gothicus,gothicic
pódogra,Gout
publicus,devlet dev.
taxatio,grading
gradalis,kademeli o.
gradatim,Yavaş yava.
baccalaure.,Lisansüstü.
grammática,gram gram .
magnificus,Muhteşem m.
concessum,hibe
graphicum,grafik gra.
herba,Çim
gratitudo,şükran min.
sepulcrum,Mezar meza.
gravitas,yerçekimi
insignis,olağanüstü.
éuge!,Harika!
máxime,Büyük ölçü.
magnitudo,Boyut büyü.
graecismus,Grecism
Graecia,Yunanistan.
avaritia,açgözlü aç.
Graecus,Yunanca
víridis,yeşil yeşi.
salutatio,Hoşgeldini.
gregalis,gregarious
cratícula,ağ ağ ağ
crassus,kalın kalı.
nimis,Açıkçası
globus,Grup grubu.
ássecla,hanger-on
augescens,Büyü büyüm.
incrementu.,Artan artı.
praestatio,garanti ga.
pignus,guarantor
conjectura,Tahmin Tah.
ductor,kılavuz kı.
culpa,Suçluluk s.
culpabilis,suçlu suçl.
sclopétum,Silah taba.
víscera,Innards
sólitus,Her zamank.
grándinat,Selam olsu.
dimidius,yarısının .
ansa,İşi
tractatio,tedavi ted.
habilis,handy
crápula,hangover
beatitúdo,Mutlu mutl.
laetus,neşeli
diffícilis,zor zor zo.
vix,Zor bir şe.
damnun,Hasar zara.
nocívus,zararlı za.
innócuus,zararsız z.
concordia,harmoni ha.
cursim,hastily ha.
praeproper.,hasty
odíbilis,nefretli n.
ódium,Nefret nef.
títulus,Başlık:
sanitas,Normallik
sanus,Sağlıklı s.
Hebraeus,İbranice
temperatio,Koruma
hedonismus,Odonism
Hegelianus,Hegel
hegemonía,hegemonya
fastigium,Yüksek yük.
helicópter.,Helikopter.
hélica,Shelix
Hellenismu.,Helensm
utilis,yararlı ya.
hemisphaer.,Hemisphere
hinc,Bu nedenle
praeco,Ona
hereditari.,miras mira.
haereticus,Heretical
heréditas,miras mira.
heróicus,kahraman
dubitanter,Shesitatin.
heuristicu.,Heuristic
occultus,Occult
hierarchia,hiyerarşik.
altus,Yüksek uzu.
suprémus,En yüksek .
valde,Çok fazla
viarius,otoyol oto.
índicus,Hindu Hind.
hinduismus,hinduism
coxa,hip
conductus,işe alındı.
historicus,Tarihi Tar.
historia,Tarih tari.
huc,hit
raucus,hoarse
avocamentu.,hobi hobi
sárculum,hoe
cavum,delik de d.
sanctitas,Kutsal Kut.
holocaustu.,holocaust
