stipatio,Cluster
sumptio,Postleitza.
confirmati.,Sicherheit
affirmo,Sicherheit
domi,bei
ataráxia,ataraxia
atheisticu.,atheistisc.
Atlanticus,Atlantik
atmosphaer.,Atmosphäre
atómicus,Atom
expiatio,Sühne
appendicul.,Befestigun.
adeptio,Gewinne
praesentia,Anwesenhei.
subtegulán.,Ameisen
speciósus,attraktiv
attributum,Eigenschaf.
cavea,Öffentlich.
phonotaení.,Tonband
autarchia,Autarchie
germanus,authentisc.
auctoritas,prestige
autocinéti.,Automobili.
automatari.,automatisc.
autocinétu.,Auto
autónomus,autonom
autonomia,Autonomie
autumnalis,Fall
medíetas,Durchschni.
medius,Mitte
vitatio,Vermeidung
conscienti.,Sensibilis.
mirabilis,!
dirus,Dreading
inconcínnu.,Klempner
axiologia,Axit
Aztecus,Azteken
garrulitas,babbel
postícus,zurück
spina,Rückgrat
circumstan.,Hintergrun.
praesumptu.,Hintergrun.
mántica,Rucksack
retrógradu.,rückwärts
retro,rückwärts
bacterium,Bakterium
pravus,schlecht
improbitas,Unsinn
esca,Kohl
aequilibri.,Bilanz
libratus,ausgeglich.
maeniánum,Balkon
calvitium,Haarausfal.
pila,Kugelschre.
tabella,Stimmzette.
banána,Bananen
exilium,Exil
argentaria,Bank
argentariu.,Banker
thermopoli.,bar
bárbarus,Barbarei
merus,Sherlock
barócus,Barock
statio,Quartale
basípila,Baseball
fundátus,grundsätzl.
fundamenta.,grundsätzl.
fundamentu.,Basis
balneum,Badezimmer
solium,Badewanne
proelium,Kampf
pílula,Perlmutt
faba,Bohnen
barba,Senf
pulchritud.,Schönheit
quia,weil
antequam,vor
ante,vor
incipiens,Anfänger
convenit,Behoot
essens,werden
serus,verwandt
Belgicus,Belgien
Belgium,Belgien
opinatus,geglaubt
credens,Gläubiger
campana,Glocke
infra,darunter
cíngulum,Gurtband
scamnum,Sitzbank
benéficus,großzügig
proclivita.,Tendenz
juxta,Seite
praeterea,und
largitio,Weiden
proditio,Treason
birotarius,Bicycling
bilinguis,Zweisprach.
miliardum,Milliarden
obligatori.,obligatori.
biologicus,biologisch.
biologus,Biologen
biologia,Biologie
patria,Geburtsort
amárus,bitter
amaritudo,Bitterkeit
bivalentia,Bivalenz
ridículus,bizarr
lámina,Schicht
reprehensi.,Schuld
vacuum,Rohöl
vacuus,Rohöl
blasphémo,Blasphem
blasphémus,Blästerer
blasphemia,Blasphemie
apertus,geöffnet
admixtio,Mischung
caecus,Blinddarm
obsidio,Blockade
interclusi.,Blockierun.
faveus,Blond
caerúleus,Blau
distortus,verzerrt
directoriu.,an Bord
jactans,rühmen
incorporal.,Kotflügel
corpóreus,Körper
férvidus,sieden
audacia,Kühnheit
adminículu.,Ausbau
bomba,Bombardeme.
vínculum,Anleihen
librarium,Buchkoffer
librarius,Kopierer
inurbánus,Borretsch
cáliga,Boot
limitáneus,Grenzüberg.
taedium,Tragfähigk.
taediosus,langweilig
mutuus,Gegenseiti.
mutuatio,Anleihen
lagóéna,Flasche
finis,gebunden
cista,Feld
strophium,B.
gloriosus,Bragging
brahmanism.,Brahmanism.
cérebrum,Gehirn
arbóreus,Verzweigun.
stigma,Marke
fortis,stark
fortitudo,Mut
Brasilia,Brasilien
Brasiliens.,Brasilien
ruptio,Bruch
jentáculum,Frühstück
mamilla,Brust
nupta,Bräute
clarus,klar
luculentus,brillant
vivax,Langlebig
Britannia,Großbritan.
Britannus,Britisch
Britannicu.,Britisch
latus,Breite
fractus,gebrochen
aeneus,Bronze
fuscus,Braun
navigatrum,Browser
bulla,Blase
sítula,Eimer
buddhismus,Buddhismus
aedificium,Gebäude
pirum,Glühbirne
ministeriu.,Service
grapheocrá.,Bürokratie
grapheocrá.,Burocrazin
laophorium,Bus
negotium,Handel
occupatus,beschäftig.
sed,aber
butýrum,Butter
papilio,Butterfly
verbum,Verbleib
dictio,Sputtern
cábbala,Kohl
refectoriu.,Refektur
placenta,Kuchen
calendariu.,Kalender
vocatio,Beruf
tranquillu.,Ruhe
aequanímit.,ruhig
tranquilli.,Ruhe
Cantabrigi.,Cambridge
Cantabrigi.,Cambridge
fossa,Kanal
candidatus,Bewerber
Cantuaria,Canterbury
capitalism.,Kapitalism.
captivus,gefangen
carbonium,Kohlenstof.
charta,Papier
cardinalis,schwenkbar
cura,Sorge.
diligens,vorsichtig.
diligenter,sorgfältig
néglegens,sorglos
Carmelitan.,Carmelit
carneus,Nieren
tapétum,Teppiche
lator,Träger
Cartesianu.,Carsian
Cartusianu.,Karthussel.
imagúncula,Karikatur
res,Thema
castellum,Festung
Catalonien.,Katalonien
categoria,Kategorie
Cathólicus,Katholiken
Caucasius,Kaukasisch
causativus,Cousal
causalitas,Kausalität
causa,Ursache
cautio,Vorsicht
cautus,vorsichtig
perpetuus,Unten
tectum,Dach
heleoselín.,Sellerie
caelebs,Celibat
cellula,Zellstoff
coemeteriu.,Friedhof
censor,Censor
censura,Critus
medium,Mitte
caerimonia,Zeremonie
certo,sicherlich
certitudo,Sicherheit
catena,Kette
creta,Kreide
próvoco,Herausford.
provocátor,Ausgewählt
propugnato.,Champion
fortúitus,Zufall
cancellari.,Kanzler
mutatio,Änderung
mutatorius,Änderung
mutabilis,änderbar
mutans,Änderung
sacellum,Kapelle
vaniloquus,Carlatin
pérsequor,Persec.
vilis,billig
sýngrapha,Überprüfun.
gena,Wange
hilárus,fröhlich
chémicus,Chemikalie
chemista,Chemiker
chémia,Chemie
cérasum,Kirschen
castánea,Kastanien
praecípuus,Chef
praecipue,hauptsächl.
infantilis,Kinder
Chilia,Chile
Chiliensis,Chile
Sinensis,China
Sinenses,China
semiconduc.,Chip
socolata,Schokolade
electio,Wahl
exquisítus,Wahl
electus,gewählt
Christianu.,Christian
ecclesia,Kirche
ecclesiali.,kirchlich
Cinerella,Cinderella
municipium,Stadtstaat
civílis,Zivil
togatus,Zivilbevöl.
humanus,Menschen
school,Klasse
clássicus,Klassik
membrum,Klausel
argilla,Ton
mundus,Universum
serenus,klar
claritas,Klarheit
clericalis,Kleriker
cállidus,clever
calliditas,Geschickli.
cliens,Kunden
caelum,Klima
gradatio,climax
clinicus,klinisch
fautores,Clique
contemplat.,Gerinnung
prope,in der Näh.
scrutatio,Prüfung
clausus,geschlosse.
propius,in der Näh.
núbilus,bewölkt
scurrilis,Clowns
dulcículus,Übersüße
consociati.,Gesellscha.
indicium,Angaben
exercitor,Trainer
páénula,Mantel
cáffea,Kaffee
cognosciti.,kognitiv
cohaerenti.,Kohärenz
cohaerens,kohärent
bobina,Spule
frígidus,kalt
collapsio,Zusammenbr.
collatio,Collat
collectio,Sammlung
collegium,Gilden
conflígo,Kollid
collisio,Kollisione.
colónicus,Kolonial
colonia,Kolonie
varius,verschiede.
caeruleus,Farben
proeliator,Kampfmitte.
comoedia,Komödie
commoditas,Komfort
jussum,Anordnung
annotatio,Kommentare
commercium,Handel
deditio,Hingabe
vulgo,allgemein
communismu.,Kommunismu.
comes,Begleitung
societas,Unternehme.
comparábil.,vergleichb.
comparatio,Vergleich
misericord.,Mitgefühl
perítus,zuständige.
querela,Beschwerde
complement.,Ergänzung
íntegre,vollständi.
completio,Abschluss
complicita.,Komplikati.
elementum,Element
compósitor,Komponist
compósitum,Verbundwer.
transactio,Kompromiss.
computátru.,Computer
computratá.,Computer
notio,Bezeichnun.
conceptual.,konzeption.
pressus,Bernstein
presse,Buntbar
conclusion,Schlussfol.
illativus,Deduktiv
concretus,Beton
vocabulum,Beton
concubina,Herrin
confessari.,Beichte
fides,Loyalität
confísus,Zuversicht.
pugna,Kampf
confrater,Süßigkeite.
turbo,Verwirrung
confusus,verwirrt
perplexus,verwirrend
turbatio,Verwechslu.
conjunctum,Konjunktiv
conexus,Verwandtsc.
expugnatio,Eroberung
cognitus,bekannt.
consectari.,konsistent
consolátor,Konsole
conjuratio,Verschwöru.
constans,Resolut
constanter,ständig
constructu.,Konstrukti.
contentio,Spannung
contingens,Content
stabilitas,Stabilität
oppositio,Einspruch
contritio,Abruf
cómmodus,bequem
coenobium,Konvent
suasorius,überzeugen.
crústulum,Cookies
frigídulus,kühl
copulativu.,Koordinate.
polýgraphu.,Vergewalti.
cópula,Copula
transcríbo,Kopie
maiza,Mais
corollariu.,Corolling
rectus,gerade
correctus,korrigiert
correctio,Berichtigu.
corruptor,korruptor
cosmologia,Kosmologie
impensa,Kosten
gossipium,Baumwolle
monitum,Beratung
computatio,Anzahl
comitissa,Anzahl
innumerabi.,Zahllos
terra,Land
aula,Gericht
comis,Höflichkei.
cómitas,Höflichkei.
áúlicus,Gericht
vacca,Kuh
timíditas,Feigheit
ignavus,feige
armentariu.,Cowboy
rima,Rhythmen
gravis,Ton
dementia,Verrückung
creatio,Schöpfung
creativus,kreative
creatura,Kreide
credíbilis,glaubwürdi.
agnitio,Kredit
credulitas,credulity
crédulus,Nackt
symbolum,gekrempelt
delictum,Verbrechen
sceleratus,Kriminelle
criticus,Kritik
decretoriu.,Schlüssel
tránseo,Kreuz
cómpitum,Kreuzungen
turba,Menge
crudelis,grau
crudelitas,Grausamkei.
cruciata,Granat
cruciatus,Kreuzfahre.
crusta,Kruste
bacculum,Krücken
culturalis,Kultur und.
excultus,kultiviert
curiositas,Neugier
mire,neugierig
usitatus,Strom
consuetudo,nach oben
translatic.,gebräuchli.
béllulus,Schnitt
cyclicus,cyclischen
cynicus,Zyn
cynismus,Zynismus
quotidie,täglich
saltator,Tanz
periculosu.,Risiko
obscurus,Dunkel
Darwinismu.,Darwinismu.
dies,Datum
dativus,dativ
aurora,Morgen
surdus,sprachlos
pactio,Deal
corruptio,Jahrzehnte.
fallácia,Betrug
fallax,Rezeptor
plane,perfekt
decretum,Entscheidu.
judicatori.,Entscheidu.
declinatio,Deklinatio.
deteriorat.,Rückgang
imminutio,Abnahme
dedicatio,Hingabe
deductio,Abzüge
factum,Tatsache
profundus,tiefgründi.
pénitus,gründlich
superátor,besiegt
vitium,Fehler
vitiosus,Ungerade
defensor,Verteidige.
defensio,Verteidigu.
defensibil.,defensibel
defensoriu.,Verteidigu.
mendosus,Fehler
definitus,Definitiv
definite,definitiv
definitio,Definition
terminalis,endgültig
deformitas,Deformität
stadium,Grad
deicticus,deicate
deismus,Deismus
mora,Warte!
cogitatus,bewusst se.
suavis,lecker
postulatio,Vorspannun.
durus,stern
spernax,Demeaning
democratia,Demokratie
democratic.,Demokratie
negatio,Negation
signífico,Hinweis
cláúsula,Denoument
dentifex,Zahnarzt
deonticus,Deontic
deontologi.,Deontologi.
provincia,Abteilung
depressus,depressiv
altitudo,Tiefe
contumelio.,Pejoration
meritum,Wüsten
mérito,Recht
descriptio,Design
denoto,Bezeichnun.
architectu.,Designer
desiderabi.,wünschensw.
optabilis,begehrt
scrinium,Schreibtis.
desperatio,Verzweiflu.
fatum,Schicksal
distensio,Inhaftieru.
detractio,Ablenkung
detractor,Detraktor
digressio,Digression
machinamen.,Motor
devius,devious
deditus,gewidmet
diagrammat.,Diagramm
dialecticu.,Dialektik
dialogicus,Dialog
cólloquor,Dialog
diátriba,Diatribe
dichotomia,Dichotomie
dictionari.,Wörterbuch
didascaliu.,Didaktik
diaeta,Diät
alius,andere
diffusio,Diffusion
concoctio,Verdauung
dignitas,Würde
dioecesanu.,Diocesan
directio,Richtung
directe,direkt
moderator,Direktor
spurcus,dreckig
spurco,dreckig
impeditio,Prävention
calamitas,Katastroph.
calamitosu.,katastroph.
incredulit.,Unglaublic.
discalceat.,entkalkt
discipulus,Nachfolge
patefactiv.,diskret
patefactio,Angaben
disjungo,Ausschalte.
inventor,Entdecker
arbitrium,Wahl
sermocinat.,diskursiv
disceptati.,Diskussion
pátina,Gericht
disjunctum,Disjunkt
consternat.,In
reprobatio,unsicher
discussio,Streitigke.
male,Unzufriede.
dissensio,Dissidence
distantia,Abstand
distinctus,deutlich
distortio,Verzerrung
diffidenti.,Misstrauen
divisus,vereinigt
disjunctio,Trennung
desuetus,Übelkeit
divortium,Scheidung
diversitas,Vielfalt
divinus,Göttlich
divinitus,Göttlich
dividuus,Divisible
divisio,Abteilung
medicus,Arzt
doctoralis,Promotion
doctrina,Lehre
monumentum,Dokument
máchina,Dose
dogmaticus,Hund
dogmatismu.,Dogmatismu.
scutatum,Dollar
territoriu.,Gebiet
práévalens,dominieren
Dominicanu.,Dominikani.
janua,Tür und Tü.
dubitatio,Hesit
deorsum,nach unten
summus,utter
libéllulua,Drachenfli.
scaenicus,Stufe
histriónia,dramatisch
severissim.,!
incommodum,Nachteile
somnium,Traum
térebra,Bohrloch
potio,trinken
siccitas,Dürre
týmpanum,Trommel
ébrius,betrunken
ebríetas,Trunkenhei.
siccus,trocken
dualismus,Dualismus
ducissa,Zoll
mutus,Dummkopf
sterquilin.,Dungheap
inter,während
Nederlándi.,Niederländ.
videodiscu.,DVD
dyádicus,Dyadin
moribundus,sterben
dynamicus,Dynamik
mane,Anfang
enixus,verdient
enixe,Ernsthaft
otium,Leicht
facile,leicht
orientalis,Osten
fácilis,leicht
abnormalis,Exzenter
oecologicu.,Umwelt
oecologia,Umwelt
oeconometr.,Wirtschaft.
parsimonia,Wirtschaft
Æquatoria,Ecuador
Æquatorian.,Ecuador
oecumenicu.,Ökumenisch
oecumenism.,Ökumenismu.
edictum,Edict
editio,Ausgabe
institutio,Bildung
praeceptor,Tutorial
formidolós.,Dessous
efficienti.,Effizienz
ovum,Ei
Ægyptius,Ägypter
cúbitum,Ellenbogen
Eleáticus,Elfenbein
comitialis,Wähler
electricus,elektrisch.
electronic.,Elektronik
élegans,elegant
primordius,primitiv
eloquenter,eloquent
álibi,andere
emanatio,Emanenz
emergens,Auf der
passio,Leiden
empathía,Mitgefühl
imperator,Allgemein
emphaticus,Kaisergran.
imperium,Imperium
empiricus,empirisch
empirismus,Empirismus
functionar.,Beschäftig.
exinanitio,Entleerung
terminatio,Ende
endócrinus,Endocrine
navus,Energie
energeticu.,Energie
desponsatu.,Verlobte
machinator,Ingenieur
Anglicus,Englisch
satis,ganz
locupletat.,Anreicheru.
adscriptic.,registrier.
illatio,Mitwirkung
totus,Gesamt
integritas,Klang
entrópia,Entropie
perscripti.,Minuten
ínvidus,Eifersucht
invidia,Neid
evánidus,Ephemeral
épicus,Epic
epigraphe,Epigraph
epistemicu.,Epistemic
epítheton,Epithel
aequus,Ebene
aequalitas,Chancengle.
aequipólle.,Äquivalent
aequívocus,Gleichwert.
eróticus,Erotik
mendum,Fehler
succedáneu.,Ersatz
doctus,wissenscha.
esotericus,Esoterik
scriptio,Schreiben
essentia,Wesen
quidditati.,Wesentlich.
aeternus,ewig
aeternitas,Ewigkeit
ethicus,Ethik
gentilis,ethnische .
Etrúscus,Etrusker
Eucharísti.,Eucharisti.
euphória,Euphorie
éúphorus,euphorisch
Europáéus,Europäisch.
aequalis,sogar
ultimus,Letzter Be.
postremo,irgendwann
omnes,alle
ubíque,überall
evidentia,Nachweis
malus,wicked
malum,Übelkeit
malefactor,Das ist me.
evolutio,Entwicklun.
evolutivus,Entwicklun.
accuratio,Genauigkei.
probatio,Prüfverfah.
excavatio,Ausgrabung.
excellenci.,Exzellenz
exceptio,Ausnahme
nimíetas,Überschuß
nimius,Über uns
concitatio,Aufregung
proprius,Privatpers.
executivus,Exekutive
exemplaris,ideal
exercitati.,Ausbildung
exhaustus,erschöpft
exhibitio,zeigen
exoticus,exotisch
expansio,Erweiterun.
carus,teuer
experienti.,Erfahrung
experiment.,Experiment
expressus,Grafik
aperte,offensicht.
diserte,ausdrückli.
latitudo,Umfang
ádditus,Extras
extractum,Extrakt
extremus,Insgesamt
summe,extrem
facetus,Fazit
facticitas,Tatsache
secta,Tatsache
conditio,Faktor
ergasteriu.,Fabrik
fácticus,Tatsache
facúltas,Fakultät
offensio,Fehler
mediócrite.,relativ
aequitas,Fairness
Christifid.,Gläubige
fallacia,Vermutung
lapsus,Schlupf
falsus,falsch
falsum,Falschheit
pérperam,falsch
familia,Familie
familiaris,in
praeclarus,berühmt
flabellum,Ventilator
fanaticus,Fanatiker
commentici.,Telefon
phantasia,Phantasie
vectura,Abgang
villa,Bauernhaus
longius,weiter
velox,schnell
velóciter,schnell
celerius,schneller
obésus,Fett
fatális,tödlich
fatalismus,Fatalismus
beneficium,Gefällt mi.
praedilect.,Favoriten
factibilis,machbar
foederatus,Bundesland
sensatio,Gefühl
femineus,weiblich
feminínus,Feminin
feminismus,Feminismus
saeptum,Zaun
studiosus,Eifersucht
idólum,Fetisch
feudalis,Feudal
pauciores,weniger
móbilis,Mobil
fictio,Fiktion
fabulosus,legendär
fictus,scheinend
fideismus,fideal
fideisticu.,fide
ferociter,feurig
translativ.,figurativ
plica,Datei
expletio,Füllung
pellícula,Film
finalis,Abschluss
finalitas,Abschluss
pecuniariu.,Finanzen
repertum,Finden
subtilis,fein
multa,fein
peractus,fertiggest.
finítus,endlich
fínitas,Finitus
Finnus,Finn
Fínnicus,Finnisch
Finnia,Finnland
firmus,Unternehme.
piscatio,Fischerei
decorosus,Ausrüstung
vexillum,Flagge
blanditia,flacher
flexibilis,flexibel
diluvium,Flut
facundia,Einfluss
fluens,Grippe
tibia,Flöte
coopérculu.,Ordner
stultitia,Dummheit
desipiens,Dummheit
inepte,töricht
nam,für
coactio,für die
extraneus,Außenberei.
antesignan.,fürerunner
ímmemor,Vergesslic.
oblítus,vergessen
furcilla,Gabel
forma,Version
formalis,Formblatt
caeremonia,Formalität
formaliter,formell
dispositio,Format
disponens,Format
efformatio,Bildung
prior,Vorname
olim,früher
informis,formlos
formula,Formel
fossilis,Fohlen
fundatio,Erdung
pars,Abschnitt
fragmentum,Fragment
Franciscan.,Franziskan.
libertas,Breite
conquassat.,Freak.
lentícula,Linsen
libere,frei
furens,frens
furor,Braten
frequentia,Frequenz
frequens,häufig
végetus,frisch
viriditas,Frische
benignus,freundlich
terror,Terroriste.
frívolus,frivol
rure,von
antícus,vorne
proscaeniu.,vorne
fecundus,leistungsf.
fructuose,fruchtbar
oblectamen.,Laufzeit
potentia,Potenz
functor,Spass für .
pecuniae,Mittel
infundíbul.,Trichter
ridiculus,lächerlich.
ultra,weiter
ulterior,weiter
futilis,Unverfügba.
futility,Futilität
futurus,Zukunft
lucrum,Gewinne
Gallaecia,Galicien
Gallaecus,Galicien
álea,Glücksspie.
lacuna,Lacuna
alium,Knoblauch
gasium,Gas
gasicus,Gas
bencinum,Benzin
bencinariu.,Benzin
gemma,Edelsteine
generalis,Generell
generalita.,Allgemeinh.
generalite.,Verallgeme.
liberalita.,Großzügigk.
genitívus,Genitiv
mitis,sanft
nobilis,Gentleman
sincerus,Original
geographia,Geographie
geométria,Geometrie
Germanicus,Deutsch
gerundium,Gerund
gerundivum,Gerundion
larva,Geist
donum,Geschenk
immanis,gigantisch
puella,Mädchen
datum,gegeben
donatio,Vorgabe
datio,geben
vitrum,Glas
vitreus,Glas
impediment.,Glitzer
glossa,Glanz
glossarium,Glanz
digitabulu.,Handschuh
gnoseologi.,Gnoseologi.
gnosticus,Gnostic
gnosticism.,Gnostik
permissio,Genehmigun.
propositum,Vorschlag
Deiformis,Gottähnlic.
aurifodína,Goldmin
Goliardicu.,Goliard
Guglea,Google
gothicus,Haschisch
pódogra,Gicht
publicus,Zustand
taxatio,Einstufung
gradalis,allmählich
gradatim,allmählich
baccalaure.,Absolvente.
grammática,Grammatik
magnificus,herrlich
concessum,Finanzhilf.
graphicum,Diagramm
herba,Gras
gratitudo,Dankbarkei.
sepulcrum,Grab
gravitas,Schwergewi.
insignis,bemerkensw.
éuge!,Toll!
máxime,stark
magnitudo,Größe
graecismus,grecism
Graecia,Griechenla.
avaritia,Gier
Graecus,Griechisch
víridis,Grün
salutatio,Willkommen
gregalis,griechisch
cratícula,Netz
crassus,dick
nimis,Brutto
globus,Gruppe
ássecla,Aufhänger
augescens,wächst
incrementu.,Zunahme
praestatio,Garantie
pignus,Garantie
conjectura,Vermutlich.
ductor,Führung
culpa,Gilt
culpabilis,Schuldig
sclopétum,Pistole
víscera,Nüsse
sólitus,mit
grándinat,Hafer
dimidius,Hälfte
ansa,Griff
tractatio,Behandlung
habilis,handy
crápula,Aufhängung
beatitúdo,Glück
laetus,freudig
diffícilis,hart
vix,kaum
damnun,Schaden
nocívus,schädlich
innócuus,harmlos
concordia,Harmonie
cursim,hastily
praeproper.,hassen
odíbilis,hassend
ódium,Hass
títulus,Waren
sanitas,Normalität
sanus,gesund
Hebraeus,Hebräisch
temperatio,Heidel
hedonismus,Hedonismus
Hegelianus,Hegelian
hegemonía,Hegemon
fastigium,Höhe
helicópter.,Hubschraub.
hélica,Helix
Hellenismu.,Hellenisch
utilis,nützlich
hemisphaer.,Hemisphäre
hinc,und
praeco,Herald
hereditari.,geerbt
haereticus,Hierarchie
heréditas,Erbe
heróicus,Heroin
dubitanter,Hessen
heuristicu.,heuristisc.
occultus,Occer
hierarchia,Hierarchie
altus,groß
suprémus,Höchst
valde,viel
viarius,Autobahn
índicus,HINWEIS
hinduismus,Hinduismus
coxa,Hüftgelenk
conductus,eingestell.
historicus,Geschichte
historia,Geschichte
huc,!
raucus,Hirse
avocamentu.,Hobby
sárculum,Hopfen
cavum,Bohrung
sanctitas,Heiligkeit
holocaustu.,Holocaust
sanctus,heilig
domesticus,Zuhause
homilia,Homily
homónymum,Homonym
homosexual.,Homosexuel.
probus,Ehrlich!
próbitas,Ehrlichkei.
honorábili.,ehrenwert
honeste,ehrenwert
caputium,Kapuze
spei,Hoffnung
desperatus,Hoffnungsl.
desperante.,Hoffnungsl.
horizontal.,horizontal
valetudina.,Krankenhau.
hostilitas,Feindschaf.
deversoriu.,in
Hustonia,Houston
tugurium,Garnelen
áttamen,jedoch
immensus,unbegrenzt
miséricors,Mensch
humanismus,Humanismus
humanistic.,menschlich
humanitas,Mensch
húmilis,demütigen
quotidianu.,Crowdrum
suspicio,Hunch
Húngarus,Ungarn
Hungaria,Ungarn
esúriens,Hunger
venatio,Jagd
venator,Jäger
hydrógenum,Wasserstof.
salubritas,Hygiene
salutaris,hygienisch
hypertextu.,Hypertext
hypnoticus,Hypnose
Hiberia,Iberia
Hibericus,Iberisch
iconomachi.,Iconoclasm.
iconoclast.,Iconoclast
idealismus,Ideal
idealistic.,idealistis.
ideatio,Idee
identitas,Gleichheit
ideologia,Ideologie
idolatricu.,idolatrous
idolatria,Igolat
inscientia,Unwissenhe.
ínsciens,ignorant
illegalis,illegal
analphabet.,Analitat
illogicus,illogisch
lustro,Beleuchtun.
illuminism.,Illuminism.
hallucinat.,I
translatio,Bild
imitatio,Nachahmung
immanentia,Immanenz
ímmanens,immanent
immaterial.,Immateriel.
immaturus,Unreife
immediatio,Sofort
praesens,Soforthilf.
immersio,Tauchen
immódicus,immoderat
impudícus,Imperativ
immoralis,immoralisc.
immortalis,Unsterblic.
immutabili.,unveränder.
impactio,Auswirkung.
ínvius,unpassierb.
impatienti.,Impatien
imperativu.,Im Folgend.
imperialis,kaiserlich
impersonal.,Imperativ
tacitus,Tacit
tácite,implizit
implosio,Implosion
dicit,impliziere.
significat.,Bedeutung
impossibil.,unmöglich
commotus,beeindruck.
impressio,Eindruck
inverisimi.,unwahrsche.
ineptus,unsachgemä.
extemporal.,Improvisat.
inopia,Unfähigkei.
inactuosus,inaktiv
insuffiens,unzureiche.
quátenus,inasmuch
endogámicu.,Gerbstoffe
endogámia,Inzucht
incarnatus,Inkarnat
incitament.,Anreize
adventiciu.,Vorfall
inclusus,inklusive
comprehens.,einschließ.
imperfectu.,unfertig
incredibil.,unglaublic.
vere,tatsächlic.
incertus,Unsicher
incisura,Kennnummer
endeixicus,Index
Indus,Indien
Indoameric.,Indien
indicativu.,Indikativ
patrius,indigen
indignabun.,indignant
obliquus,indirekt
inconsultu.,Indiskret
individuum,individuel.
inductio,Induktion
indulgenti.,Indulganz
industrial.,Industrie
ineffábili.,ineffizien.
disaequati.,Ungleichhe.
inevitabil.,unvermeidl.
necessario,unvermeidl.
inexorabil.,unausweich.
